Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7, C9",0402,5,4u7,C23733
"C10, C2, C4, C6, C8",0402,5,100n,C1525
"U1, U2, U3, U4, U5",ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,5,LPS22HH,C2827824
